Candidato,Partido,Número,Votos
Bilinha,PRTB,28056,35
Edson Santos,PRTB,28211,35
Aidé Batista,PHS,31450,35
Juscelino dos Rodoviários,PMN,33260,35
Professor Joaquim Marques,PPS,23646,34
Suzana Abreu,PTC,36666,33
Cris Bautista,PRTB,28010,32
Tony Claiton,PSDC,27382,32
Rita de Cássia,PPL,54450,32
Leandro Monteiro,PV,43495,32
Wilma Linary,PSC,20155,31
Elly Reis,PCO,29290,31
Seu Coutinho,PSDB,45700,30
Flavia Alves,PTC,36234,30
Silva Junior,PC do B,65660,29
Pastor Crhistian Lisboa,PPS,23141,29
Vanda Silva,PSD,55355,29
Fatima Castro,PHS,31331,29
Marcilio Lessa,PSL,17111,28
Nina,SD,77003,28
Marcia Leite,PSD,55069,28
Richard Pasquale,PT,13012,28
Carla Lopes,DEM,25200,28
Thiago Mágico,PPS,23223,27
Prof. Cicero Inácio,PMN,33030,27
Rose da Bomba,PPS,23251,25
Antonio Salada,PV,43700,25
Julio Moraes,PPL,54523,25
Elisangela Maria,PPL,54454,25
Jorginho das Pizzas,PHS,31944,24
Any Pricscila,PHS,31127,24
Zenilda,PSDB,45500,23
Teca Cristina,PRTB,28018,23
Alexandre Amaral,PHS,31066,23
Sandra Lee,PC do B,65087,22
Erika,PPS,23503,22
Deyverson Freire,PV,43583,22
Viviane Ferreira,PEN,51654,21
Marcone José,PHS,31365,21
Paulo Dias,PRB,10777,20
Cida,PPL,54040,20
Armando Monteiro,PV,43006,20
Lidice Britto,PTC,36300,19
Beatriz Simplicio,PPS,23467,19
Izabelly Santos,SD,77456,19
Roberta Moura,PRP,44040,19
Paulo Selva,PMN,33666,19
Jair Silva,PPL,54045,19
Tavinho,PSDC,27007,18
Kátia Cilene,PSDB,45453,18
Adriane D'yewa,PSD,55236,18
Priscila,PSOL,50075,18
Romero Menor,PV,43188,18
Ananias Salvador,PSDB,45565,17
Professora Marytz,PEN,51131,16
João Bené,PSD,55022,16
Professora Elaine,PSDC,27306,16
Eliane do Espetinho,SD,77999,16
Mike Pereira,PHS,31006,16
Pastor Jonathan,PPL,54488,16
Brazuca,PSL,17007,15
Washington de Souza,PPS,23666,15
Ricardo Melo,PV,43133,15
Sara Braga,PRB,10150,14
Ray,PRTB,28333,13
Luciana Arantes,PT,13577,13
Enfermeiro Alexandre Borges,PEN,51321,13
Pastor Edson Barbosa,PPL,54346,13
Anaiza Gomes,PPL,54442,13
Sidnei,PPS,23757,12
Carmem Nascimento,PC do B,65270,12
Edson Ribeiro,PPL,54344,12
Eliene Felipe,PRP,44844,11
Cristiane Silva,PSOL,50110,11
Marly Catalógos,PTC,36360,10
Wando Wanderley Neto,PSB,40321,10
Aninha Soares,PCO,29351,10
Ana Rafaela,PHS,31661,10
Adriana Freire,PPS,23332,9
Renata Cybelle,PSDC,27232,9
Mãe Ana,PHS,31520,9
Pablo Castro,SD,77900,8
Marcela Maria,PEN,51206,8
Elza Rodrigues,PP,11420,7
Ivania Tavares,PT,13767,7
Roberta Padilha,PTC,36182,5
Pinheiro Bahia,SD,77678,5
Betinha Silva,SD,77001,5
Ana Almeida,PP,11500,4
Wellington Mídia,PSDC,27100,4
Musa Madalayne Cavalcanti,PR,22322,4
Ana Paula Lima,PCO,29629,4
Priscila Ferreira,PMN,33433,4
Fernanda Santos,PSDB,45890,3
Erika Correia,PRP,44678,3
Monique Alves,PMN,33001,3
Noêmia,PEN,51120,2
Matuto do Coque,PSDC,27127,2
Luciana Moura,PTC,36700,2
Renata Silva,PHS,31999,2
Dona Fufu,PTC,36900,1
Tania da Guabiraba,PSDC,27423,1
Neco Recife,PTC,36800,1
Galega de Santo Amaro,PSDC,27444,1
Glória Maria,PHS,31112,1
Leda,PMN,33999,1
Andrea,PPL,54170,1
Lindinalva Se Santana,DEM,25090,1
Kelly,PPL,54260,1
Denize Maria,PEN,51731,0
Lindinalva Domingos,PSC,20789,0
Jamerson Dantas,PSD,55321,0
Néa,PRTB,28412,0
Fabiola Maia,PRB,10543,0
Sara Barbosa,PP,11320,0
Josy Arruda,PRB,10912,0
Euridice,PRTB,28902,0
Patricia Braga,PP,11432,0
Gilson Lima,PROS,90190,0
Silvia Cristina,PRB,10712,0
Maria Helena Cidadã Repórter,PV,43777,0
Walter Freitas,PPS,23000,0
Gildazio Moura,PT,13126,0
Estela Sitio G. Imbiribeira,PPL,54713,0
Inaldo Monteiro,PSOL,50150,0
Vanda,PTB,14135,0
Edson Axé,PT,13213,0
Soares Fêu,PROS,90111,0
Sergio Urt,PT,13500,0
Fernando Acs (garrincha),PT,13192,0
Raquel Lourenço,PMN,33231,0
Aline Fagundes,PT,13130,0
Samuel Luz Barbosa,PTB,14020,0
André Frutuoso,PPS,23623,0
Vanessa Silva,PHS,31321,0
Benedito Serafim,PTB,14333,0
Neyl Santos,PT,13133,0
